customer_id,first_name,last_name,email,phone,ssn,date_of_birth,address,city,state,zip_code,signup_date
30,Stephen,Smith,stephen.smith39@hotmail.com,(415) 640-6279,576-66-8244,2005-08-12,3601 Lincoln Ave,Mount Vernon,WV,32241,2021-12-14
31,Andrew,Allen,andrew.allen85@icloud.com,(834) 543-2530,869-40-6085,1965-02-26,3362 Pine Rd,Springfield,AZ,42092,2026-05-01
32,Brandon,Roberts,brandon.roberts10@outlook.com,(624) 844-4185,835-99-7291,1989-05-09,6647 Park Blvd,Bristol,TN,10726,2022-03-13
33,Diane,Ramirez,diane.ramirez29@yahoo.com,(912) 730-8611,151-81-5082,1955-11-21,7578 Pine Rd,Mount Vernon,NJ,97500,2026-12-16
34,Brenda,Hill,brenda.hill41@proton.me,(653) 827-9270,536-80-8305,1959-04-13,7877 Sunset Blvd,Georgetown,WI,42406,2024-02-10
35,Jerry,Roberts,jerry.roberts67@outlook.com,(841) 444-5499,550-19-5681,1966-01-14,4551 Church Rd,Fairview,OH,20561,2022-07-21
36,Karen,Anderson,karen.anderson50@icloud.com,(356) 923-4505,165-63-7678,1974-09-08,8990 Sunset Blvd,Ashland,AR,37110,2025-09-17
37,Stephanie,Roberts,stephanie.roberts75@icloud.com,(220) 983-7232,588-10-6763,1971-10-16,6489 Highland Ave,Milford,WV,81582,2023-06-23
38,Gary,Anderson,gary.anderson35@outlook.com,(697) 229-7371,444-95-7624,1959-10-23,7757 Pine Rd,Auburn,OH,13534,2025-06-02
39,Nicole,Torres,nicole.torres85@gmail.com,(285) 858-8022,238-69-3977,1949-07-06,4362 Spring St,Fairview,IN,69598,2024-08-31
40,Amanda,Carter,amanda.carter49@hotmail.com,(970) 631-5133,183-70-1317,1993-05-24,953 River Rd,Madison,TN,18993,2021-06-14
41,Dennis,Johnson,dennis.johnson32@yahoo.com,(220) 836-3496,344-26-8758,2005-01-22,1974 Washington Ave,Oakland,VT,43586,2025-02-19
42,Nancy,Hill,nancy.hill78@icloud.com,(935) 317-3683,418-23-1420,1972-12-27,9533 Spring St,Kingston,VA,35995,2021-11-08
43,Nicole,Hall,nicole.hall81@yahoo.com,(304) 913-5941,800-86-2983,1995-10-10,772 River Rd,Milford,NV,96706,2025-02-26
44,David,Allen,david.allen83@hotmail.com,(212) 630-9031,208-65-6934,2002-01-08,7632 Pine Rd,Ashland,ID,78386,2024-01-12
45,Brandon,Wright,brandon.wright62@outlook.com,(646) 948-5397,430-41-2419,1970-01-09,7485 Park Blvd,Marion,NJ,84691,2025-04-02
46,Amanda,Johnson,amanda.johnson64@proton.me,(532) 386-8988,317-55-5232,1975-07-15,4681 Lake Dr,Milford,AL,77715,2023-02-22
47,William,Thomas,william.thomas93@outlook.com,(700) 768-4937,807-70-9041,1985-03-17,382 Maple Dr,Arlington,IA,63005,2023-09-24
48,Michelle,Nelson,michelle.nelson75@hotmail.com,(684) 766-9698,452-64-6419,1976-07-25,7534 Lake Dr,Arlington,KY,40217,2022-05-10
49,Patrick,Gonzalez,patrick.gonzalez41@gmail.com,(960) 748-4033,296-37-8933,1969-10-22,9759 Hill St,Greenville,IL,48829,2023-07-21
50,George,Lopez,george.lopez39@gmail.com,(925) 746-3073,380-15-1893,1994-08-24,4886 Pine Rd,Lebanon,WI,74340,2022-02-25
51,Mary,Torres,mary.torres37@outlook.com,(690) 651-6582,288-16-5136,1987-11-11,1969 Maple Dr,Kingston,NY,19710,2021-08-08
52,Karen,Martinez,karen.martinez73@hotmail.com,(287) 454-2940,671-63-4697,1991-11-19,6332 Sunset Blvd,Oakland,MD,87139,2025-10-23
53,Michelle,Torres,michelle.torres80@gmail.com,(824) 957-2625,881-36-4457,1968-09-28,1430 Elm St,Madison,ID,82350,2021-11-04
54,Christopher,Smith,christopher.smith53@outlook.com,(905) 808-8699,398-14-4792,1970-11-06,4732 Sunset Blvd,Franklin,UT,40595,2023-12-20
55,Tyler,Green,tyler.green76@icloud.com,(402) 635-2880,657-38-3441,1968-10-31,2430 Maple Dr,Riverside,HI,50319,2024-03-28
56,Jeffrey,Davis,jeffrey.davis60@icloud.com,(511) 916-7594,378-74-9847,1989-04-20,7272 Maple Dr,Auburn,AZ,66626,2024-08-13
57,Samantha,Taylor,samantha.taylor4@gmail.com,(434) 890-1339,883-96-5415,1996-09-12,759 Elm St,Dover,ND,95394,2025-12-17
58,Emily,Lopez,emily.lopez75@outlook.com,(850) 703-2494,581-54-7690,1974-11-26,5360 Cedar Ln,Winchester,HI,53228,2025-08-14
59,Alexander,Young,alexander.young37@icloud.com,(610) 978-1601,565-21-6153,1967-08-24,5396 Cedar Ln,Marion,MT,77449,2021-01-05
60,Gregory,Wright,gregory.wright60@outlook.com,(255) 392-9494,470-89-9167,2001-02-09,7342 Oak Ave,Salem,LA,81987,2022-06-21
61,Andrew,Lewis,andrew.lewis90@outlook.com,(324) 229-4920,826-30-6091,1994-06-02,324 Highland Ave,Franklin,IA,24871,2026-03-06
62,Jessica,Adams,jessica.adams20@outlook.com,(933) 498-9337,822-44-7807,1988-04-15,7836 Park Blvd,Oakland,OK,28958,2025-04-21
63,Matthew,Hill,matthew.hill66@icloud.com,(339) 271-5526,891-63-6568,1990-07-21,4477 Main St,Arlington,WA,49132,2026-06-29
64,Karen,Lewis,karen.lewis69@outlook.com,(553) 540-9903,486-68-6272,1961-12-04,4012 Spring St,Madison,WY,63841,2021-06-28
65,Joshua,Mitchell,joshua.mitchell61@icloud.com,(590) 595-3492,607-14-3068,1990-01-24,9769 Church Rd,Winchester,CT,67711,2022-02-13
66,Helen,Robinson,helen.robinson2@icloud.com,(347) 619-3529,176-70-5342,1975-05-17,6612 Maple Dr,Winchester,MI,98389,2026-12-26
67,Edward,Lee,edward.lee81@icloud.com,(977) 699-9864,136-89-2121,1966-01-23,4808 Park Blvd,Lexington,CO,66881,2022-02-08
68,Heather,Green,heather.green91@proton.me,(302) 654-3725,810-48-1474,1949-02-16,5414 Oak Ave,Arlington,MN,59131,2025-10-31
69,Charles,Thomas,charles.thomas68@outlook.com,(779) 898-3950,274-32-2293,1999-09-06,6367 Park Blvd,Dover,PA,28758,2023-08-10
70,Kathleen,Green,kathleen.green33@outlook.com,(461) 882-1153,576-46-9955,1959-03-05,1310 Sunset Blvd,Burlington,PA,49210,2025-10-04
71,Alexander,Taylor,alexander.taylor59@proton.me,(509) 403-7302,594-23-4886,1979-03-20,9470 River Rd,Newport,ME,48696,2021-03-31
72,Adam,Nelson,adam.nelson51@hotmail.com,(208) 779-1803,720-73-5689,1965-08-24,5872 Park Blvd,Lebanon,IL,91381,2023-10-24
73,Frank,Carter,frank.carter93@proton.me,(875) 897-3240,743-22-1645,1972-09-19,7322 Oak Ave,Newport,MS,27224,2022-01-05
74,Donna,Lee,donna.lee96@outlook.com,(379) 405-3165,652-56-9697,1990-01-07,4565 Elm St,Georgetown,NM,48684,2024-10-19
75,Aaron,Davis,aaron.davis60@gmail.com,(344) 972-4696,792-96-7511,1995-01-01,6092 Maple Dr,Mount Vernon,MT,11824,2023-12-20
76,Jonathan,Davis,jonathan.davis59@hotmail.com,(888) 966-5295,698-58-7086,1954-09-21,3930 Lincoln Ave,Springfield,SC,83584,2024-09-05
77,Brandon,Anderson,brandon.anderson83@gmail.com,(850) 675-5951,764-62-2911,1957-07-17,842 Oak Ave,Arlington,NY,25220,2022-02-03
78,Mark,Wright,mark.wright18@outlook.com,(664) 579-9850,529-85-3531,1982-03-22,1722 Lincoln Ave,Auburn,NE,46666,2021-05-15
79,Alexander,White,alexander.white28@outlook.com,(655) 441-6942,201-97-7018,1993-11-06,5976 Oak Ave,Kingston,LA,34878,2022-05-16
80,Nathan,Robinson,nathan.robinson12@icloud.com,(417) 857-1349,151-52-4990,1956-04-19,9350 Washington Ave,Franklin,WI,82641,2023-04-29
81,Nicole,Wilson,nicole.wilson30@hotmail.com,(992) 351-1046,383-28-3129,1993-06-19,4206 Elm St,Greenville,TX,13379,2022-06-24
82,Mary,Thompson,mary.thompson31@aol.com,(531) 216-3854,371-16-3076,1982-10-08,8719 Cedar Ln,Lexington,CA,72422,2026-01-11
83,Diane,White,diane.white66@aol.com,(311) 662-9254,326-88-1710,2004-02-11,8643 Hill St,Oakland,TN,14082,2021-09-07
84,Amy,Sanchez,amy.sanchez55@icloud.com,(310) 702-8267,175-20-6277,1999-07-29,2530 Maple Dr,Bristol,LA,91830,2024-08-24
85,Edward,Hill,edward.hill68@hotmail.com,(664) 717-8048,201-99-2874,2003-09-27,9133 Washington Ave,Ashland,NH,39949,2025-08-22
86,Amanda,Robinson,amanda.robinson52@outlook.com,(947) 297-6120,537-50-5176,1978-08-01,2600 Lincoln Ave,Franklin,CO,21188,2022-01-17
87,Laura,Miller,laura.miller96@icloud.com,(581) 333-1982,700-81-6400,2005-02-09,2102 Highland Ave,Burlington,TX,65435,2021-07-30
88,Andrew,Hill,andrew.hill40@hotmail.com,(306) 791-9313,317-29-8900,1965-02-13,1873 River Rd,Winchester,OK,58176,2022-04-16
89,Heather,Moore,heather.moore74@yahoo.com,(639) 774-1430,723-94-5381,1947-08-07,3055 Lake Dr,Cleveland,WI,50499,2024-10-23
90,Brian,Smith,brian.smith24@proton.me,(346) 779-7566,171-28-1502,1953-03-26,8791 Washington Ave,Kingston,NE,69460,2024-10-28
91,Christopher,White,christopher.white40@icloud.com,(532) 995-2391,153-29-3579,2000-06-06,915 Maple Dr,Georgetown,NH,96761,2025-10-03
92,Gary,Hill,gary.hill57@outlook.com,(479) 420-9394,216-54-8043,1954-12-13,4740 Lincoln Ave,Hudson,TX,50425,2021-07-06
93,Donald,Sanchez,donald.sanchez77@gmail.com,(207) 409-5938,316-27-5186,1970-12-20,5475 Cedar Ln,Springfield,NY,66446,2022-12-21
94,Thomas,Harris,thomas.harris69@icloud.com,(435) 712-6802,173-60-1693,1984-02-20,407 Sunset Blvd,Franklin,MA,85465,2025-10-25
95,Pamela,Sanchez,pamela.sanchez91@icloud.com,(627) 496-2887,514-12-6321,1960-06-02,7638 River Rd,Franklin,NV,23875,2023-09-24
96,Laura,Nguyen,laura.nguyen52@aol.com,(280) 605-6083,863-53-4630,1974-11-18,2854 Maple Dr,Hudson,SD,24945,2026-12-14
97,Angela,Gonzalez,angela.gonzalez45@hotmail.com,(944) 860-3419,341-23-3399,1967-12-19,3332 Elm St,Auburn,GA,95918,2021-11-05
98,Daniel,Roberts,daniel.roberts81@outlook.com,(675) 972-8354,797-82-6295,2001-04-09,5279 Pine Rd,Oakland,CA,71462,2025-12-17
99,Benjamin,Martin,benjamin.martin36@aol.com,(257) 560-9312,175-49-8565,1985-07-18,716 Oak Ave,Burlington,ME,20057,2022-01-05
100,Brandon,Hill,brandon.hill65@outlook.com,(673) 794-1672,560-83-4084,1973-11-05,7892 Pine Rd,Riverside,NH,23566,2024-11-07
